,Title,Price,Discount,Rating,URL,Image
206,"SponsoredHP Laptop 14, Intel Core Ultra 5 125H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1022TU  39.6 Centimetres","69,990",N/A,5.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjQ0Nzg4MDIxMzAyNzg2OjE3Mjg0NjgxNDU6c3BfcGhvbmVfc2VhcmNoX210ZjozMDAzNDI0Nzc2OTgxMzI6OjA6Og&url=%2FHP-14-inch-Graphics-Privacy-gr1022TU%2Fdp%2FB0D8J8H131%2Fref%3Dmp_s_a_1_206_sspa%3Fdib%3DeyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1728468145%26sr%3D8-206-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1,https://m.media-amazon.com/images/I/61grUIPWcuL._AC_SX148_SY213_QL70_.jpg
207,"ASUS Vivobook 16"" FHD+ (1920 x 1200), 60Hz 300nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris Xᵉ Graphics/Win 11/Office Home/Fingerprint/42WHr Battery/Transparent Silver/1.88kg), X1605ZAC-MB541WS  16 Inches","51,990",N/A,,https://www.amazon.in/ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=mp_s_a_1_207?dib=eyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4&dib_tag=se&keywords=Laptop&qid=1728468145&sr=8-207,https://m.media-amazon.com/images/I/61fsBFww9DL._AC_SX148_SY213_QL70_.jpg
208,"Dell XPS 9640 Laptop, AI Enabled Intel Core Ultra 9 185H, 32GB LPDDR5X & 1TB SSD, Win 11 + MSO'21, NVIDIA RTX 4060,8 GB GDDR6,16.3"" (41.4cm) UHD+ OLED Touch 400 nits, Backlit KB + FPR,Platinum, 2.13kg  16.3 Inches","3,66,290",N/A,5.0 out of 5 stars,https://www.amazon.in/Dell-Enabled-LPDDR5X-Backlit-Platinum/dp/B0D4YQVTK1/ref=mp_s_a_1_208?dib=eyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4&dib_tag=se&keywords=Laptop&qid=1728468145&sr=8-208,https://m.media-amazon.com/images/I/61MmNc4mRLL._AC_SX148_SY213_QL70_.jpg
209,"MSI Katana 17, Intel 13th Gen. i7-13620H, 44CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX3050, 6GB GDDR6/Black/2.6Kg), B13UDXK-255IN  44 Centimetres","74,990",N/A,3.7 out of 5 stars,https://www.amazon.in/MSI-i7-13620H-Windows-GeForce-B13UDXK-255IN/dp/B0BTW1RCWZ/ref=mp_s_a_1_209?dib=eyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4&dib_tag=se&keywords=Laptop&qid=1728468145&sr=8-209,https://m.media-amazon.com/images/I/71+bSm87KmL._AC_SX148_SY213_QL70_.jpg
210,"Lenovo IdeaPad 1 Intel Core Celeron N4020 15"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/Office 2021/1Yr Warranty/Cloud Grey/1.3Kg), 82V700ECIN  15 Inches","25,300",N/A,3.5 out of 5 stars,https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V700ECIN/dp/B0CWRS3XRB/ref=mp_s_a_1_210?dib=eyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4&dib_tag=se&keywords=Laptop&qid=1728468145&sr=8-210,https://m.media-amazon.com/images/I/71bDJ9wxxWL._AC_SX148_SY213_QL70_.jpg
211,"ASUS Vivobook 15, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Win11/MS Office/Backlit Keyboard/Silver/1.7 kg), X1504VA-NJ320WS + 9K Card Offer  15.6 Inches","38,850",N/A,4.2 out of 5 stars,https://www.amazon.in/ASUS-Vivobook-i3-1315U-Integrated-X1504VA-NJ320WS/dp/B0CYTD8DVF/ref=mp_s_a_1_211?dib=eyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4&dib_tag=se&keywords=Laptop&qid=1728468145&sr=8-211,https://m.media-amazon.com/images/I/71xsJgGNTEL._AC_SX148_SY213_QL70_.jpg
212,"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.46Kg), 83BF000UIN  15 Inches","58,690",N/A,4.2 out of 5 stars,https://www.amazon.in/Lenovo-IdeaPad-12450H-Backlit-83BF000UIN/dp/B0CFF518HZ/ref=mp_s_a_1_212?dib=eyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4&dib_tag=se&keywords=Laptop&qid=1728468145&sr=8-212,https://m.media-amazon.com/images/I/61UjxQh+aYL._AC_SX148_SY213_QL70_.jpg
213,"MSI Thin 15, Intel 13th Gen. Core i7-13620H, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4050,GDDR 6GB /Cosmos Gray/1.86Kg), B13VE-1800IN  40 Centimetres","92,690",N/A,,https://www.amazon.in/MSI-i7-13620H-Windows-GeForce-B13VE-1800IN/dp/B0CV9MDWRY/ref=mp_s_a_1_213?dib=eyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4&dib_tag=se&keywords=Laptop&qid=1728468145&sr=8-213,https://m.media-amazon.com/images/I/71Ie8YsWrFL._AC_SX148_SY213_QL70_.jpg
214,"SponsoredASUS TUF F17 Gaming Laptop, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) 144Hz, (8GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), FX706HF-HX018W  17.3 Inches","48,990",N/A,3.9 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjQ0Nzg4MDIxMzAyNzg2OjE3Mjg0NjgxNDU6c3BfcGhvbmVfc2VhcmNoX2J0ZjozMDAxMTkyOTY5MzU0MzI6OjA6Og&url=%2FASUS-i5-11400H-17-3-inch-GeForce-FX706HF-HX018W%2Fdp%2FB0C27VNNWH%2Fref%3Dmp_s_a_1_214_sspa%3Fdib%3DeyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1728468145%26sr%3D8-214-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYnRm%26psc%3D1,https://m.media-amazon.com/images/I/816M6yAx34L._AC_SX148_SY213_QL70_.jpg
215,"SponsoredLenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA07RIH  15.6 Inches","44,990",N/A,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjQ0Nzg4MDIxMzAyNzg2OjE3Mjg0NjgxNDU6c3BfcGhvbmVfc2VhcmNoX2J0ZjozMDAzNDA5NjY4NDk1MzI6OjA6Og&url=%2FLenovo-V15-i5-1235U-Windows-82TTA07RIH%2Fdp%2FB0DDY3SG2G%2Fref%3Dmp_s_a_1_215_sspa%3Fdib%3DeyJ2IjoiMSJ9.imOeETSjZYL9FkPdZZl5mYBIom1zyuwhEh1wq4UYIZsopWOqgLTjFceO1cRu8o7rj0ZRUMM2q0Aj7K9r2PTvtYYdSRe9h9Ex5-Q8vY9djZvpZZoqJzVVkefpo9f7eo2-ndtGdSJDH4d7SfsAQMTn7f8i6DfLdMRL_tRL6YCU8gAQQBsWxa8ey_BDzMdPPHeEd_nwTjxV2fe_g9xGgvUhJQ.KrIXeXnuK8xYH3YATKMdWWv0b-PdI1-NiWEgMknHrQ4%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1728468145%26sr%3D8-215-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYnRm%26psc%3D1,https://m.media-amazon.com/images/I/719+CaSnPxL._AC_SX148_SY213_QL70_.jpg
